id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1107267364207293530,A pasos Mall Alto Las Condes. Barrio muy seguro.,440074006,Maria Jose,,Vitacura,-33.3875503,-70.54614939999999,Entire home/apt,160000,3,17,2024-09-06,2.90,1,251,17,
1107374317895434848,Hostal Barrio Yungay,565923901,Jeannina,,Santiago,-33.43367,-70.66205,Private room,,1,1,2024-05-12,0.22,1,269,1,
1107427162610829861,Acogedor y excelente vista,565864795,María Susana,,Santiago,-33.43477427638148,-70.66104646060084,Entire home/apt,40000,1,39,2024-09-16,5.97,1,268,39,
1107449778636527792,CasaTaller,341302258,Ilse,,Huechuraba,-33.3582209,-70.668917,Private room,20000,3,3,2024-08-12,1.32,1,88,3,
1107465138971004573,Lindo departamento central,565945138,Ana María,,Providencia,-33.43957456569374,-70.6339016,Entire home/apt,33000,2,26,2024-09-20,4.02,1,234,26,
1107491426721874536,Espectacular Vista,74008,Maria Olga,,Las Condes,-33.3996081,-70.5750777,Entire home/apt,105000,3,1,2024-07-30,0.51,1,254,1,
1107498975331658941,Departamento Gran Central,45166347,Felipe,,Santiago,-33.448598022591405,-70.64188691859158,Entire home/apt,40000,2,1,2024-04-30,0.20,1,269,1,
1107513866989497546,Casa (dorm) en confortable barrio,485547851,Maria De Los Angeles,,Pedro Aguirre Cerda,-33.48665,-70.66029,Private room,13500,1,11,2024-06-30,1.69,1,261,11,
1107551153628151339,Departamento dos dormitorios,528922618,Alojamiento Turístico,,Santiago,-33.447,-70.65408,Entire home/apt,42571,1,2,2024-08-30,0.45,10,86,2,
1107560792452013971,Departamento amplio cerca del metro línea 5,513855243,Juan,,Quinta Normal,-33.43912,-70.70274,Entire home/apt,37000,3,11,2024-09-22,1.71,2,358,11,
1107819066050639111,Excepcional Depto Bellas Artes,304742919,D Y A,,Santiago,-33.4379882,-70.6448686,Entire home/apt,41571,1,7,2024-09-18,1.27,7,0,7,
1107822224099042867,Casa para familia con un cuarto alquilado.,19115160,Catalina,,Las Condes,-33.40572,-70.55667,Private room,200000,3,0,,,4,54,0,
1107990901707330922,Lindo depto. en Providencia,201283943,Carolina,,Providencia,-33.4229404,-70.6017188,Entire home/apt,45857,2,13,2024-08-14,2.31,1,256,13,
1108081378821638859,Depto. Centro San Martín Urbano.,306610663,Alexis Ulises,,Santiago,-33.4338,-70.65961,Entire home/apt,28429,1,54,2024-09-09,8.06,6,261,54,
1108146565044777353,Los Andes desde el piso 28,453034735,Simon,,Las Condes,-33.399735435773884,-70.57224005449218,Entire home/apt,87840,3,2,2024-09-18,1.11,1,178,2,
1108189535722501891,Depto.Huechuraba 3 Hab Cercano a Centros Eventos,557152546,Carolina,,Huechuraba,-33.3850558,-70.6142663,Entire home/apt,135000,2,10,2024-09-13,2.07,1,350,10,
1108287223023255444,Amplio departamento cerca del Metro linea 5,513855243,Juan,,Quinta Normal,-33.43744,-70.70207,Entire home/apt,35414,3,11,2024-09-15,1.82,2,248,11,
1108295461790775370,"Bellas Artes 4, A Pasos Del Metro",480746807,Alejandro,,Santiago,-33.4379882,-70.6448686,Entire home/apt,27704,4,39,2024-09-23,6.03,5,351,39,
1108596893034745932,Departamento Centro La Moneda 25,474072601,Thomas,,Santiago,-33.44702,-70.65423,Entire home/apt,31280,1,7,2024-07-28,1.07,10,259,7,
1108670064552934463,"Tendrás Total seguridad, conectividad y comodidad",553210300,Fabiola,,Las Condes,-33.40619,-70.55756,Entire home/apt,48857,3,10,2024-09-08,1.57,1,253,10,
1108777791692884614,Relax while discovering the best of Ñuñoa,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,62573,2,15,2024-09-01,2.43,194,340,15,
1108783585091145672,Inigualable Depto 2D2B en el corazon de Santiago,287196445,Hom,,Santiago,-33.43451,-70.64474,Entire home/apt,65219,2,19,2024-09-06,3.63,93,181,19,
1108801622204043207,Enjoy all the charm of Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,31096,2,19,2024-09-08,2.95,194,360,19,
1108811729413944624,Artístico depa en Barrio Yungay,566228657,Francisca,,Santiago,-33.4391528,-70.6766009,Entire home/apt,60000,2,0,,,1,177,0,
1108812312432759352,"Penthouse en Las Condes, con vista a Club de Golf",2488148,Isidora,,Las Condes,-33.40733,-70.58754,Entire home/apt,209000,5,0,,,5,218,0,
1108816568910835342,Relax and enjoy the best of Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.45138,-70.62692,Entire home/apt,32994,2,27,2024-09-23,4.22,194,351,27,
1108820178773441074,Dpto. Nuevo y Económico a 20’ del centro,27335224,Manuel,,La Cisterna,-33.51956643748534,-70.65337926149368,Entire home/apt,30143,2,7,2024-09-21,1.09,2,269,7,
1108827798010207863,Cómo en casa,385834764,Victor,,La Florida,-33.55164,-70.57268,Private room,21429,1,2,2024-09-06,1.71,1,363,2,
1108842881893748497,Empapate del ambiente bohemio de Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,38113,2,27,2024-09-19,4.11,194,344,27,
1108850938604427490,Experience the Charm of Ñuñoa with the Best Comfor,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,43394,2,20,2024-09-21,3.08,194,354,20,
1108863042197665905,La mejor comodidad a solo pasos de Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,39361,2,25,2024-09-20,3.91,194,334,25,
1108872415375787055,Centro Cívico Santiago Centro,58248813,Carlos,,Santiago,-33.43706,-70.65331,Entire home/apt,150000,5,0,,,6,269,0,
1108935388679691592,"Depto 127, bien equipado, instalación nueva 1D1B",290982161,Abdon,,Santiago,-33.4498629,-70.64894079999999,Entire home/apt,43000,2,2,2024-06-01,0.39,2,69,2,
1108961063356542994,Amoblado MyK Metro Irarrazabal,468082200,Marco,,Santiago,-33.45294641832976,-70.63216623135222,Entire home/apt,46400,1,4,2024-08-05,0.72,1,227,4,
1109106693729914220,Habitación Matrimonial,301344148,Italo,,Las Condes,-33.41711,-70.57094,Private room,19000,1,3,2024-08-30,1.48,2,222,3,
1109119237133535085,Habitación Individual,301344148,Italo,,Las Condes,-33.41702,-70.56914,Private room,15000,1,18,2024-09-10,2.80,2,235,18,
1109265628313078652,NUEVO Estudio a pasos de la CLC,235041203,Carolina,,Las Condes,-33.3829734,-70.5324763,Entire home/apt,57571,2,12,2024-09-25,1.86,11,255,12,
1109274991965887279,Habitación Doble  Baño Privado,171278912,Héctor,,Quilicura,-33.37641,-70.73056,Private room,45000,2,2,2024-04-06,0.32,1,270,2,
